ban1,ban2,ban3,ban4,ban5,ban6,pick1
Sejuani,Zyra,Pantheon,Skarner,Kalista,Akali,Varus
Varus,Nidalee,Ashe,Skarner,Kalista,Corki,K'Sante
Ornn,Sion,Yone,Kalista,Jayce,Skarner,Viktor
Kalista,Maokai,Vi,Skarner,Ivern,Varus,Ashe
Rumble,Sejuani,Varus,Skarner,Kalista,Ashe,K'Sante
Ambessa,Viego,Viktor,Skarner,Corki,Aurora,Wukong
Orianna,Viktor,Wukong,Skarner,Kalista,Aurora,Varus
Corki,Maokai,K'Sante,Skarner,Viktor,Varus,Vi
Vi,Nocturne,Skarner,K'Sante,Viego,Elise,Viktor
Viktor,Ambessa,Orianna,Skarner,Kalista,Rumble,Aurora
Ashe,Yone,Ambessa,Kalista,Azir,Lillia,Skarner
Zyra,Kalista,Rumble,Skarner,K'Sante,Vi,Ambessa
Viego,Zyra,Vi,Nocturne,Ashe,Skarner,K'Sante
Nocturne,Varus,Corki,Skarner,Ashe,Kalista,Jayce
Irelia,Leona,Ivern,Viktor,Caitlyn,K'Sante,Corki
Kalista,Skarner,Vi,Yone,Aurora,Viktor,Varus
Poppy,Kalista,Skarner,Wukong,Gragas,Syndra,Corki
K'Sante,Ashe,Varus,Draven,Corki,Skarner,Wukong
Corki,Kalista,Viktor,Skarner,Jayce,Aurora,K'Sante
Ashe,Orianna,K'Sante,Irelia,Ambessa,Corki,Skarner
Swain,Viego,Ekko,Rumble,Viktor,Skarner,Corki
Aurora,Viktor,Maokai,Skarner,Wukong,Ivern,Corki
Kalista,Vi,Rumble,Skarner,Corki,Gnar,Viktor
Azir,Maokai,Kalista,Skarner,Vi,Varus,Viktor
Fiora,K'Sante,Kalista,Skarner,Varus,Corki,Ashe
Ivern,Maokai,Corki,Skarner,Vi,Aurora,Varus
Wukong,Viktor,Corki,K'Sante,Hwei,Skarner,Aurora
Varus,Jax,Ezreal,Viktor,Skarner,Kalista,Corki
Ezreal,Caitlyn,Vi,Azir,Skarner,Viktor,Kalista
Garen,Azir,Orianna,Skarner,Viktor,Varus,Corki
Rumble,Vi,Varus,Skarner,Kalista,Maokai,Viktor
Akshan,Elise,Wukong,K'Sante,Amumu,Varus,Corki
Varus,Yone,Jayce,K'Sante,Aurora,Skarner,Corki
Viego,Viktor,Varus,Sejuani,Skarner,Aurora,Kalista
K'Sante,Kalista,Rumble,Skarner,Corki,Maokai,Varus
Renata Glasc,Sejuani,Maokai,Skarner,Corki,Aurora,Vi
Wukong,Volibear,Kalista,Skarner,Maokai,Corki,Rumble
Ambessa,Vi,K'Sante,Skarner,Corki,Rumble,Jayce
Jayce,Xin Zhao,Corki,Skarner,Galio,Kalista,Maokai
Varus,Vi,Poppy,K'Sante,Skarner,Sejuani,Maokai
Maokai,Jayce,K'Sante,Skarner,Viktor,Varus,Swain
Varus,Jayce,Kalista,Rumble,Skarner,K'Sante,Corki
Corki,Rumble,Jayce,Skarner,Ambessa,Kalista,Varus
Galio,Camille,Viktor,Maokai,Skarner,Corki,Varus
Gnar,Swain,Corki,Maokai,Viktor,Skarner,Ambessa
Kalista,K'Sante,Viktor,Draven,Aurora,Corki,Skarner
Ambessa,Maokai,Rumble,Skarner,Kalista,Xin Zhao,K'Sante
Rumble,Varus,Corki,Skarner,Jayce,Vi,Kalista
Kalista,Aurora,Skarner,Fiora,Nocturne,Ashe,Varus
Zed,Aphelios,Maokai,Viktor,Corki,Aurora,Skarner
Kalista,Skarner,Varus,Fiora,Ivern,Viktor,Aurora
Viktor,Wukong,Olaf,Kayn,Aurora,Ivern,Corki
Corki,Maokai,Sejuani,Draven,Kalista,Skarner,Viktor
Jinx,Sion,Viktor,Skarner,Corki,Kalista,Wukong
Kalista,Viktor,Varus,Maokai,Skarner,Corki,Aurora
Corki,Viego,Wukong,Draven,Skarner,Viktor,Kalista
,Jayce,Orianna,Kalista,Ivern,Skarner,Corki
Kayn,Aurora,Varus,Viktor,Fiora,Ivern,Corki
Yone,Viktor,Wukong,Skarner,Aurora,Ambessa,Corki
Wukong,Vi,K'Sante,Viktor,Corki,Jayce,Skarner
Kalista,Azir,Aurora,Skarner,Vi,Corki,Viktor
Varus,K'Sante,Maokai,Skarner,Viktor,Elise,Corki
Poppy,Ezreal,Aurora,Kalista,Zyra,Corki,Skarner
Kayn,Rell,Smolder,Kalista,Ivern,Corki,Varus
Rumble,Aurora,Vi,Skarner,Corki,Kalista,Viktor
Zyra,Maokai,Gnar,Skarner,Corki,Viktor,Vi
Maokai,Elise,Kalista,Viktor,K'Sante,Poppy,Skarner
Aurora,Kalista,Poppy,Skarner,K'Sante,Vi,Viktor
Elise,Kalista,Viktor,Azir,Skarner,Maokai,Corki
Kalista,Rumble,Maokai,Skarner,Viktor,Jax,Corki
Corki,Vi,Poppy,Draven,Skarner,Kalista,Rumble
Jayce,Ambessa,Varus,Skarner,Viktor,Corki,K'Sante
Vi,Varus,Orianna,Skarner,Corki,Kalista,Viktor
Rumble,Ambessa,Wukong,Skarner,Poppy,Aurora,Maokai
Camille,Wukong,Zyra,Varus,Skarner,Corki,Ezreal
Draven,Kalista,Skarner,Viego,Wukong,Vi,Corki
Kalista,Jayce,Viktor,Skarner,Ambessa,Vi,Maokai
Gragas,Ambessa,Galio,Skarner,Jayce,Corki,Varus
Jayce,Poppy,Varus,Wukong,Skarner,K'Sante,Corki
Viktor,Vi,Elise,Skarner,Rumble,Ashe,Corki
Vi,Varus,Aurora,Skarner,Kalista,Viktor,Maokai
Aurora,Braum,Corki,Skarner,Orianna,Viktor,Kalista
LeBlanc,Ziggs,Hwei,Skarner,Maokai,Rumble,Corki
K'Sante,Kalista,Viktor,Skarner,Draven,Yone,Corki
Nilah,Kalista,Viktor,Skarner,Renekton,Maokai,K'Sante
Ambessa,Viktor,Jayce,Skarner,Corki,Maokai,K'Sante
Jayce,Varus,Poppy,Skarner,Kalista,Corki,Miss Fortune
